county_orig	count		county_clean	state	count		state	match	fipscode	error	err2	
COOK(IL)	"15,781"		COOK	IL	"15,781"		IL	COOK-IL	17031	FALSE	0	24
LAKE(IN)	"2,715"		LAKE	IN	"2,715"		IN	LAKE-IN	18089	FALSE	0	
DU PAGE(IL)	"1,879"		DU PAGE	IL	"1,879"		IL	DU PAGE-IL	17043	FALSE	0	
MARION(IN)	"1,106"		MARION	IN	"1,106"		IN	MARION-IN	18097	FALSE	0	
WILL(IL)	909		WILL	IL	909		IL	WILL-IL	17197	FALSE	0	
PORTER(IN)	905		PORTER	IN	905		IN	PORTER-IN	18127	FALSE	0	
KANE(IL)	761		KANE	IL	761		IL	KANE-IL	17089	FALSE	0	
ST JOSEPH(IN)	589		ST JOSEPH	IN	589		IN	ST JOSEPH-IN	18141	FALSE	0	
LAKE(IL)	456		LAKE	IL	456		IL	LAKE-IL	17097	FALSE	0	
COAHOMA(MS)	447		COAHOMA	MS	447		MS	COAHOMA-MS	28027	FALSE	0	
MILWAUKEE(WI)	394		MILWAUKEE	WI	394		WI	MILWAUKEE-WI	55079	FALSE	0	
SHELBY(TN)	362		SHELBY	TN	362		TN	SHELBY-TN	47157	FALSE	0	
HINDS(MS)	296		HINDS	MS	296		MS	HINDS-MS	28049	FALSE	0	
LEFLORE(MS)	291		LEFLORE	MS	291		MS	LEFLORE-MS	28083	FALSE	0	
BOLIVAR(MS)	272		BOLIVAR	MS	272		MS	BOLIVAR-MS	28011	FALSE	0	
JEFFERSON(AL)	272		JEFFERSON	AL	272		AL	JEFFERSON-AL	01073	FALSE	0	
KANKAKEE(IL)	257		KANKAKEE	IL	257		IL	KANKAKEE-IL	17091	FALSE	0	
HENNEPIN(MN)	249		HENNEPIN	MN	249		MN	HENNEPIN-MN	27053	FALSE	0	
LA PORTE(IN)	249		LA PORTE	IN	249		IN	LA PORTE-IN	18091	FALSE	0	
WASHINGTON(MS)	236		WASHINGTON	MS	236		MS	WASHINGTON-MS	28151	FALSE	0	
WINNEBAGO(IL)	226		WINNEBAGO	IL	226		IL	WINNEBAGO-IL	17201	FALSE	0	
ALLEN(IN)	216		ALLEN	IN	216		IN	ALLEN-IN	18003	FALSE	0	
MARICOPA(AZ)	213		MARICOPA	AZ	213		AZ	MARICOPA-AZ	04013	FALSE	0	
JEFFERSON(KY)	186		JEFFERSON	KY	186		KY	JEFFERSON-KY	21111	FALSE	0	
PULASKI(AR)	175		PULASKI	AR	175		AR	PULASKI-AR	05119	FALSE	0	
LOS ANGELES(CA)	172		LOS ANGELES	CA	172		CA	LOS ANGELES-CA	06037	FALSE	0	
MADISON(MS)	165		MADISON	MS	165		MS	MADISON-MS	28089	FALSE	0	
HARRIS(TX)	164		HARRIS	TX	164		TX	HARRIS-TX	48201	FALSE	0	
DALLAS(TX)	156		DALLAS	TX	156		TX	DALLAS-TX	48113	FALSE	0	
FRANKLIN(OH)	156		FRANKLIN	OH	156		OH	FRANKLIN-OH	39049	FALSE	0	
YAZOO(MS)	155		YAZOO	MS	155		MS	YAZOO-MS	28163	FALSE	0	
ELKHART(IN)	144		ELKHART	IN	144		IN	ELKHART-IN	18039	FALSE	0	
CHAMPAIGN(IL)	135		CHAMPAIGN	IL	135		IL	CHAMPAIGN-IL	17019	FALSE	0	
KENOSHA(WI)	124		KENOSHA	WI	124		WI	KENOSHA-WI	55059	FALSE	0	
CASS(IN)	117		CASS	IN	117		IN	CASS-IN	18017	FALSE	0	
SANGAMON(IL)	116		SANGAMON	IL	116		IL	SANGAMON-IL	17167	FALSE	0	
SUNFLOWER(MS)	113		SUNFLOWER	MS	113		MS	SUNFLOWER-MS	28133	FALSE	0	
GRENADA(MS)	111		GRENADA	MS	111		MS	GRENADA-MS	28043	FALSE	0	
CLAY(MS)	110		CLAY	MS	110		MS	CLAY-MS	28025	FALSE	0	
DANE(WI)	110		DANE	WI	110		WI	DANE-WI	55025	FALSE	0	
MADISON(AL)	109		MADISON	AL	109		AL	MADISON-AL	01089	FALSE	0	
JEFFERSON(AR)	107		JEFFERSON	AR	107		AR	JEFFERSON-AR	05069	FALSE	0	
PEORIA(IL)	102		PEORIA	IL	102		IL	PEORIA-IL	17143	FALSE	0	
RACINE(WI)	102		RACINE	WI	102		WI	RACINE-WI	55101	FALSE	0	
HENDRICKS(IN)	101		HENDRICKS	IN	101		IN	HENDRICKS-IN	18063	FALSE	0	
TIPPAH(MS)	98		TIPPAH	MS	98		MS	TIPPAH-MS	28139	FALSE	0	
DADE(FL)	95		DADE	FL	95		FL	DADE-FL	12086	FALSE	0	
VIGO(IN)	95		VIGO	IN	95		IN	VIGO-IN	18167	FALSE	0	
MCHENRY(IL)	93		MCHENRY	IL	93		IL	MCHENRY-IL	17111	FALSE	0	
MONTGOMERY(AL)	93		MONTGOMERY	AL	93		AL	MONTGOMERY-AL	01101	FALSE	0	
PHILLIPS(AR)	92		PHILLIPS	AR	92		AR	PHILLIPS-AR	05107	FALSE	0	
LOWNDES(MS)	91		LOWNDES	MS	91		MS	LOWNDES-MS	28087	FALSE	0	
BERRIEN(MI)	89		BERRIEN	MI	89		MI	BERRIEN-MI	26021	FALSE	0	
WAUKESHA(WI)	89		WAUKESHA	WI	89		WI	WAUKESHA-WI	55133	FALSE	0	
PANOLA(MS)	88		PANOLA	MS	88		MS	PANOLA-MS	28107	FALSE	0	
VERMILION(IL)	87		VERMILION	IL	87		IL	VERMILION-IL	17183	FALSE	0	
COBB(GA)	83		COBB	GA	83		GA	COBB-GA	13067	FALSE	0	
LEE(MS)	83		LEE	MS	83		MS	LEE-MS	28081	FALSE	0	
JONES(MS)	82		JONES	MS	82		MS	JONES-MS	28067	FALSE	0	
ATTALA(MS)	81		ATTALA	MS	81		MS	ATTALA-MS	28007	FALSE	0	
ROCK(WI)	81		ROCK	WI	81		WI	ROCK-WI	55105	FALSE	0	
HOWARD(IN)	80		HOWARD	IN	80		IN	HOWARD-IN	18067	FALSE	0	
LAUDERDALE(MS)	80		LAUDERDALE	MS	80		MS	LAUDERDALE-MS	28075	FALSE	0	
CLAYTON(GA)	79		CLAYTON	GA	79		GA	CLAYTON-GA	13063	FALSE	0	
JOHNSON(IN)	77		JOHNSON	IN	77		IN	JOHNSON-IN	18081	FALSE	0	
DAVIDSON(TN)	76		DAVIDSON	TN	76		TN	DAVIDSON-TN	47037	FALSE	0	
JACKSON(IL)	76		JACKSON	IL	76		IL	JACKSON-IL	17077	FALSE	0	
HAMPDEN(MA)	75		HAMPDEN	MA	75		MA	HAMPDEN-MA	25013	FALSE	0	
DE SOTO(MS)	74		DE SOTO	MS	74		MS	DE SOTO-MS	#N/A	TRUE	1	
TIPPECANOE(IN)	74		TIPPECANOE	IN	74		IN	TIPPECANOE-IN	18157	FALSE	0	
DEKALB(GA)	73		DEKALB	GA	73		GA	DEKALB-GA	#N/A	TRUE	1	
HAMILTON(OH)	72		HAMILTON	OH	72		OH	HAMILTON-OH	39061	FALSE	0	
LINN(IA)	71		LINN	IA	71		IA	LINN-IA	19113	FALSE	0	
MACON(IL)	71		MACON	IL	71		IL	MACON-IL	17115	FALSE	0	
MCCRACKEN(KY)	70		MCCRACKEN	KY	70		KY	MCCRACKEN-KY	21145	FALSE	0	
WALWORTH(WI)	70		WALWORTH	WI	70		WI	WALWORTH-WI	55127	FALSE	0	
